0.00.004.124 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.004.313 I srv          init: The UI is disabled
0.00.004.315 I srv          init: Use --ui/--no-ui (or deprecated --webui/--no-webui) to enable/disable
0.00.004.499 W srv  llama_server: -----------------
0.00.004.501 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.004.502 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.004.502 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.004.502 W srv  llama_server: -----------------
0.00.005.877 I srv    load_model: loading model '/mnt/dados/Assistente Pessoal/modelos LLM/Bonsai-27B-1bit.Q4_K_M.gguf'
0.16.080.041 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 16384, kv_unified = 'false'
0.16.141.201 I srv          init: chat template supports preserving reasoning, consider enabling it via --reasoning-preserve
0.16.141.348 I srv  llama_server: model loaded
0.16.141.360 I srv  llama_server: listening on http://127.0.0.1:9083
0.50.467.707 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.50.467.765 I slot launch_slot_: id  0 | task 0 | processing task, is_child = 0
0.54.465.497 I slot print_timing: id  0 | task 0 | prompt eval time =    1324.04 ms /     5 tokens (  264.81 ms per token,     3.78 tokens per second)
0.54.465.507 I slot print_timing: id  0 | task 0 |        eval time =    2673.54 ms /     8 tokens (  334.19 ms per token,     2.99 tokens per second)
0.54.465.509 I slot print_timing: id  0 | task 0 |       total time =    3997.58 ms /    13 tokens
0.54.465.515 I slot print_timing: id  0 | task 0 |    graphs reused =          7
0.54.465.733 I slot      release: id  0 | task 0 | stop processing: n_tokens = 12, truncated = 0
53.35.772.824 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 174545328935
53.36.368.595 I slot launch_slot_: id  0 | task 10 | processing task, is_child = 0
53.47.994.471 I slot print_timing: id  0 | task 10 | prompt processing, n_tokens =     17, progress = 0.81, t =  11.63 s / 1.46 tokens per second
54.27.033.678 I slot print_timing: id  0 | task 10 | n_decoded =    100, tg =   2.66 t/s, tg_3s =   2.66 t/s
54.30.128.557 I slot print_timing: id  0 | task 10 | n_decoded =    108, tg =   2.65 t/s, tg_3s =   2.58 t/s
54.33.192.096 I slot print_timing: id  0 | task 10 | n_decoded =    116, tg =   2.65 t/s, tg_3s =   2.61 t/s
54.36.239.672 I slot print_timing: id  0 | task 10 | n_decoded =    124, tg =   2.65 t/s, tg_3s =   2.63 t/s
54.39.275.732 I slot print_timing: id  0 | task 10 | n_decoded =    132, tg =   2.65 t/s, tg_3s =   2.63 t/s
54.42.314.918 I slot print_timing: id  0 | task 10 | n_decoded =    140, tg =   2.65 t/s, tg_3s =   2.63 t/s
54.45.363.334 I slot print_timing: id  0 | task 10 | n_decoded =    148, tg =   2.64 t/s, tg_3s =   2.62 t/s
54.48.416.982 I slot print_timing: id  0 | task 10 | n_decoded =    156, tg =   2.64 t/s, tg_3s =   2.62 t/s
54.51.472.913 I slot print_timing: id  0 | task 10 | n_decoded =    164, tg =   2.64 t/s, tg_3s =   2.62 t/s
54.54.499.642 I slot print_timing: id  0 | task 10 | n_decoded =    172, tg =   2.64 t/s, tg_3s =   2.64 t/s
54.57.557.295 I slot print_timing: id  0 | task 10 | n_decoded =    180, tg =   2.64 t/s, tg_3s =   2.62 t/s
55.00.588.773 I slot print_timing: id  0 | task 10 | n_decoded =    188, tg =   2.64 t/s, tg_3s =   2.64 t/s
55.03.626.743 I slot print_timing: id  0 | task 10 | n_decoded =    196, tg =   2.64 t/s, tg_3s =   2.63 t/s
55.06.663.516 I slot print_timing: id  0 | task 10 | n_decoded =    204, tg =   2.64 t/s, tg_3s =   2.63 t/s
55.09.715.220 I slot print_timing: id  0 | task 10 | n_decoded =    212, tg =   2.64 t/s, tg_3s =   2.62 t/s
55.12.751.161 I slot print_timing: id  0 | task 10 | n_decoded =    220, tg =   2.64 t/s, tg_3s =   2.64 t/s
55.15.791.615 I slot print_timing: id  0 | task 10 | n_decoded =    228, tg =   2.64 t/s, tg_3s =   2.63 t/s
55.18.906.620 I slot print_timing: id  0 | task 10 | n_decoded =    236, tg =   2.64 t/s, tg_3s =   2.57 t/s
55.21.965.198 I slot print_timing: id  0 | task 10 | n_decoded =    244, tg =   2.64 t/s, tg_3s =   2.62 t/s
55.25.003.113 I slot print_timing: id  0 | task 10 | n_decoded =    252, tg =   2.64 t/s, tg_3s =   2.63 t/s
55.28.070.585 I slot print_timing: id  0 | task 10 | n_decoded =    260, tg =   2.64 t/s, tg_3s =   2.61 t/s
55.31.136.955 I slot print_timing: id  0 | task 10 | n_decoded =    268, tg =   2.63 t/s, tg_3s =   2.61 t/s
55.34.188.602 I slot print_timing: id  0 | task 10 | n_decoded =    276, tg =   2.63 t/s, tg_3s =   2.62 t/s
55.35.784.679 W srv          stop: cancel task, id_task = 10
55.36.100.388 I slot      release: id  0 | task 10 | stop processing: n_tokens = 301, truncated = 0
105.44.474.355 I srv    operator(): operator(): cleaning up before exit...
