0.00.025.717 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.027.183 W srv  llama_server: -----------------
0.00.027.186 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.027.186 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.027.186 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.027.186 W srv  llama_server: -----------------
0.00.028.433 I srv    load_model: loading model '/mnt/dados/Assistente Pessoal/modelos LLM/LFM2.5-1.2B-Thinking-ToMoE-Q4_K_M.gguf'
0.17.338.581 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 128000, kv_unified = 'false'
0.17.342.586 I srv          init: chat template supports preserving reasoning, consider enabling it via --reasoning-preserve
0.17.342.621 I srv  llama_server: model loaded
0.17.342.627 I srv  llama_server: listening on http://127.0.0.1:9086
230.16.319.899 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
230.16.322.288 I slot launch_slot_: id  0 | task 0 | processing task, is_child = 0
230.21.780.262 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =    512, progress = 0.00, t =   5.46 s / 93.81 tokens per second
230.24.858.764 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   1024, progress = 0.01, t =   8.54 s / 119.96 tokens per second
230.28.463.161 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   1536, progress = 0.01, t =  12.14 s / 126.52 tokens per second
230.32.718.654 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   2048, progress = 0.02, t =  16.40 s / 124.91 tokens per second
230.37.539.945 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   2560, progress = 0.02, t =  21.22 s / 120.66 tokens per second
230.42.671.596 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   3072, progress = 0.03, t =  26.35 s / 116.59 tokens per second
230.45.564.687 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   3584, progress = 0.03, t =  29.24 s / 122.56 tokens per second
230.48.772.078 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   4096, progress = 0.04, t =  32.45 s / 126.23 tokens per second
230.52.270.820 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   4608, progress = 0.04, t =  35.95 s / 128.18 tokens per second
230.56.422.172 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   5120, progress = 0.05, t =  40.10 s / 127.68 tokens per second
231.05.037.777 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   5632, progress = 0.05, t =  48.72 s / 115.61 tokens per second
231.14.226.702 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   6144, progress = 0.06, t =  57.90 s / 106.11 tokens per second
231.23.109.386 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   6656, progress = 0.06, t =  66.79 s / 99.66 tokens per second
231.33.307.927 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   7168, progress = 0.07, t =  76.99 s / 93.11 tokens per second
231.43.737.808 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   7680, progress = 0.07, t =  87.42 s / 87.86 tokens per second
231.51.097.401 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   8192, progress = 0.08, t =  94.78 s / 86.44 tokens per second
232.01.499.569 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   8704, progress = 0.08, t = 105.18 s / 82.76 tokens per second
232.13.868.485 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   9216, progress = 0.09, t = 117.55 s / 78.40 tokens per second
232.26.629.819 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   9728, progress = 0.09, t = 130.31 s / 74.65 tokens per second
232.39.729.959 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  10240, progress = 0.10, t = 143.41 s / 71.40 tokens per second
232.47.957.416 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  10752, progress = 0.10, t = 151.64 s / 70.91 tokens per second
232.55.639.250 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  11264, progress = 0.11, t = 159.32 s / 70.70 tokens per second
233.03.715.777 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  11776, progress = 0.11, t = 167.39 s / 70.35 tokens per second
233.11.729.369 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  12288, progress = 0.12, t = 175.41 s / 70.05 tokens per second
233.20.303.634 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  12800, progress = 0.12, t = 183.98 s / 69.57 tokens per second
233.29.959.665 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  13312, progress = 0.12, t = 193.64 s / 68.75 tokens per second
233.39.356.766 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  13824, progress = 0.13, t = 203.03 s / 68.09 tokens per second
233.48.181.923 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  14336, progress = 0.13, t = 211.86 s / 67.67 tokens per second
